50 Op,65125 Op,171054 Op,213197 Op,238381 Op,255941 Op,269245 Op,279861 Op,288640 Op,296091 Op,302541 Op,308213 Op,313263 Op,317806 Op,321929 Op,325698 Op,329166 Op,50 NoOp,65125 NoOp,171054 NoOp,213197 NoOp,238381 NoOp,255941 NoOp,269245 NoOp,279861 NoOp,288640 NoOp,296091 NoOp,302541 NoOp,308213 NoOp,313263 NoOp,317806 NoOp,321929 NoOp,325698 NoOp,329166 NoOp
3997,33280,38368,43884,61866,71421,71680,71664,71664,71664,71648,71680,71648,71664,71648,71664,71648,3997,38384,71680,71648,71648,71648,71648,71680,75833,71680,81082,91254,85756,99123,97405,95788,87034
3997,33280,38384,56415,61009,71664,71648,71679,71664,71648,71680,71648,71664,71648,71664,71664,71664,3997,38368,71648,71664,71648,71680,71648,71664,71664,76925,89470,82895,75391,88824,92602,92124,99506
3997,33280,38368,46223,60287,67862,71664,71664,71648,71648,71648,71679,71664,71680,71664,71664,71648,3997,38368,71664,71680,71664,71680,71680,71680,71648,84802,81316,80418,92145,87158,96738,101443,91189
3997,33280,38384,53959,63233,67017,71664,71664,71648,71664,71664,71664,71680,71664,71648,71648,71664,3997,38384,71664,71680,71680,71648,71648,71680,71648,86190,77687,85122,94533,101376,93462,95189,101376
3997,33280,38400,51704,64296,71648,71648,71680,71664,71664,71648,71679,71648,71664,71664,71664,71680,3997,38368,71680,71648,71680,71680,71664,71664,71648,73182,76223,72875,90456,89579,79925,100863,101887
3997,33280,38368,49078,64733,68972,71648,71664,71648,71664,71648,71664,71680,71680,71664,71680,71664,3997,38368,71664,71680,71664,71664,71648,71648,71664,75658,73208,78046,80842,89391,99957,98720,97843
3997,33280,38400,54082,56006,68736,71664,71648,71664,71664,71648,71680,71664,71648,71680,71664,71664,3997,38368,71680,71664,71648,71680,71648,71664,71648,73522,83819,79285,79062,101375,89026,97759,100863
3997,33280,38368,44627,60709,69550,71680,71664,71648,71664,71664,71680,71664,71648,71664,71664,71664,3997,38368,71664,71648,71648,71664,71664,71648,83446,71648,74506,72896,90142,97358,95455,101376,97105
3997,33280,38384,48909,61714,71664,71648,71648,71679,71664,71664,71648,71648,71664,71664,71680,71648,3997,38400,71664,71648,71664,71664,71648,71648,71664,74724,77757,82313,93939,81829,90863,92295,101887
3997,33280,38384,50962,66804,63612,71664,71680,71679,71664,71648,71664,71648,71664,71648,71664,71680,3997,38400,71648,71664,71648,71664,71664,71680,71664,71648,72859,81419,93743,94913,87638,89003,101887
