50 Op,65125 Op,171054 Op,213197 Op,238381 Op,255941 Op,269245 Op,279861 Op,288640 Op,296091 Op,302541 Op,308213 Op,313263 Op,317806 Op,321929 Op,325698 Op,329166 Op,50 NoOp,65125 NoOp,171054 NoOp,213197 NoOp,238381 NoOp,255941 NoOp,269245 NoOp,279861 NoOp,288640 NoOp,296091 NoOp,302541 NoOp,308213 NoOp,313263 NoOp,317806 NoOp,321929 NoOp,325698 NoOp,329166 NoOp
60,271,1193,1623,1876,1845,3000,2016,2526,2241,2248,2896,2487,3064,2555,1927,3997,115,1984,778284,6575,14720,7236,16427,6939,17319,7013,16715,7987,16920,7490,6767,6993,7185
0,6.25E-02,0.1590295,0.1770576,0.1884165,0.1584552,0.1872034,0.1928879,0.284631,0.3530109,0.3444459,0.3281129,2.1920775,0.3742985,0.3844511,0.330037,0.5382712,0,0.3885822,6.0899607,2.4236163,5.746477,6.5617994,4.6626914,6.9848366,5.164591,7.3023646,4.0468378,7.1405768,5.1390314,4.8344918,2.6856598,3.0003093,2.4542028
59,210,1272,1648,1717,1628,2381,1965,2241,2367,2076,2450,518033,2576,802337,2560,3432,114,1882,12120,5167,13364,776345,12049,777072,13033,775360,12212,777408,14309,272533,7104,7384,6816
3997,10761,32417,51878,55265,69196,3558,65985,16199,20562,22591,29878,25419,29750,42113,37428,33816,3997,13767,30689,60670,23903,43392,61668,61316,58409,70069,90661,86912,86500,99038,97135,81467,98700
0,2496,10576,10752,12520,10536,10816,13616,17888,28976,30800,29472,31480,30680,27824,29568,30864,0,24216,68194,70425,104189,101567,97641,102017,107505,103785,96588,101049,103336,99402,102423,111449,103709
3961,3989,3997,3989,3995,3997,3991,3987,3994,3991,3994,3990,3989,3997,3982,3997,3995,3980,4026,4033,4026,4029,4025,4024,4025,4025,4032,4025,4032,4031,4025,4027,4025,4027
