50 Op,65125 Op,171054 Op,213197 Op,238381 Op,255941 Op,269245 Op,279861 Op,288640 Op,296091 Op,302541 Op,308213 Op,313263 Op,317806 Op,321929 Op,325698 Op,329166 Op,50 NoOp,65125 NoOp,171054 NoOp,213197 NoOp,238381 NoOp,255941 NoOp,269245 NoOp,279861 NoOp,288640 NoOp,296091 NoOp,302541 NoOp,308213 NoOp,313263 NoOp,317806 NoOp,321929 NoOp,325698 NoOp,329166 NoOp
60,215,1163,1463,1683,1900,1972,1256,2214,2419,2324,2680,2405,2404,2620,1951,2722,63,954,4599,5259,5811,6356,6574,6569,6839,6437,7161,7675,7046,7177,7306,7292,7425
0,6.36E-02,0.1827907,0.1733893,0.1659337,0.1831299,0.2356528,0.1869087,0.3251298,0.3389783,0.3625274,0.3721779,0.3499035,0.3458805,0.3941431,0.3696416,0.3805056,0,0.2017196,2.335634,2.9477701,2.6659964,3.0038737,2.4531671,2.7321851,2.6961217,2.7398266,2.5410107,2.7466144,2.9453138,2.8083559,2.7485213,2.8356341,2.8322539
0,6.04E-02,0.151786,0.1716352,0.1800155,0.1592485,0.2507782,0.1858916,0.2288715,0.3135324,0.3730747,0.3385945,0.368144,0.3532965,0.3560243,0.3503735,0.3530322,0,0.2008597,2.3802571,2.5045514,2.5894113,2.6727867,2.7065159,2.6180325,2.862246,2.7656899,2.6831573,2.7551175,2.7239589,2.7052357,2.7397391,2.7523725,3.0185494
0,6.11E-02,0.1528843,0.1709654,0.1568667,0.1734293,0.174065,0.2351022,0.3143814,0.3522815,0.3740626,0.3653994,0.3578313,0.3456474,0.3754325,0.3576114,0.3647956,0,0.1981076,2.3564835,2.6637684,2.7531882,2.7475646,2.7177302,2.7289176,2.5049685,2.8288867,2.7535549,2.3912155,2.7954325,2.4880679,2.5590935,2.9590956,2.7578531
0,5.60E-02,0.149551,0.1541378,0.1871773,0.1689935,0.1830334,0.2680923,0.3417105,0.3297432,0.3512588,0.3472561,0.3330483,0.3634681,0.3600534,0.3768861,0.3739162,0,0.2014119,2.378482,2.5625544,2.6527026,2.4930937,2.6383651,2.4776644,2.7087129,2.731168,2.6120011,2.8564915,2.5715444,2.9237154,2.7922905,2.677043,2.8142564
0,6.04E-02,0.1655823,0.1640968,0.1603386,0.1852411,0.1964682,0.1967611,0.192141,0.3471023,0.3685363,0.3644484,0.3526141,0.3669393,0.3661522,0.3651313,0.3691009,0,0.200853,2.4772282,2.4863561,2.6884186,2.8676025,2.7422376,2.7842588,2.7878876,2.7015674,2.691884,2.7481587,2.7933281,2.7652053,3.1282738,2.7510677,2.8474748
92,219,1126,1253,1389,1745,2015,1919,1848,2282,2094,2002,2047,2206,2277,2637,2607,79,959,4498,5964,5914,6714,6254,6594,6755,7056,6799,6936,7485,7024,7358,7213,7755
58,213,1142,1474,1481,1771,2056,1881,2119,2255,2506,2536,2065,2483,2342,2160,2751,71,949,4696,5635,5746,6317,6318,6502,6706,7065,6801,6953,7488,7234,7135,7345,7703
62,205,1191,1236,1650,1530,1681,2025,2144,2219,2410,2547,2441,2425,2657,2215,2807,75,937,4849,5921,6022,6507,6344,6605,6373,7117,6893,6513,7327,7068,7597,7690,7643
60,245,1143,1252,1618,1825,1849,2076,1949,2349,2552,2076,2418,2080,2587,2238,2677,80,968,4775,5658,5921,6038,6428,6213,6856,6946,6664,7279,7102,7482,7446,7266,7580
57,216,995,1456,1639,1757,1925,1703,1922,2381,2114,2185,2351,2479,2228,2671,2652,63,942,4829,5556,6274,6251,6484,6661,6773,6675,6936,6975,6996,7228,7662,7105,7681
3997,10761,27171,48876,62988,62870,13267,3537,16609,21164,22032,23753,30274,32005,27692,34045,28475,3997,11757,33952,62939,24910,39399,66829,60577,69623,70945,87251,83858,86673,86918,99101,92385,101888
3997,11383,36977,48962,56376,71664,14240,71383,4846,17988,20252,17872,26278,27753,30825,33162,36645,3997,9766,29346,63088,19090,47573,53432,68808,69001,75730,81902,84585,92363,93396,92550,99727,99747
3997,10762,35986,53000,61297,69955,3601,6903,17225,21154,22939,25620,24627,35344,30213,31814,35702,3997,9596,38453,4139,20654,39170,52269,61073,62844,75825,78188,91689,96604,94337,99840,92222,100864
3997,14739,39686,51575,49016,67989,68075,13481,22516,26855,25123,28516,32210,29473,29696,29305,33787,3997,11139,35770,65564,25036,48421,54786,72492,73318,72064,85370,81172,100864,92171,100864,101376,5572
3997,11427,33954,51429,61668,54608,4889,3558,22516,21825,20457,26340,27061,27252,32140,32228,34273,3997,14048,31668,64424,28557,30020,48675,58291,64348,69827,78159,83736,81602,89612,91687,90095,101888
0,2576,12096,11072,10888,12528,9880,11904,19968,30024,30864,31064,29904,30080,31744,30336,32360,0,25224,66230,69961,103659,103600,94211,103245,102269,104256,98652,103497,103155,106416,101940,105875,102527
0,2384,9448,11512,12096,10352,12240,12720,12296,22832,28552,22952,31008,31272,30808,30576,30048,0,26144,68243,69868,107288,99085,101810,98344,102601,102777,101847,103052,101578,102595,104528,102755,104450
0,2496,9728,10776,10704,11000,10776,11112,20776,30336,30640,30592,31600,29112,30960,31032,30352,0,24984,63563,66506,106383,104106,103208,102930,104693,102701,104040,98855,98412,102063,100036,105323,103706
0,1928,9312,10584,13752,10928,12552,11600,29024,28784,30000,29768,29472,30696,31168,31704,30808,0,25488,65407,67416,103672,98831,101415,96147,100002,103080,99779,105076,95344,103898,99175,101610,101588
0,2440,10520,10824,10752,13648,10536,11848,13080,30256,29392,30376,30792,31392,30512,30904,30720,0,24240,67204,68122,101670,109143,104550,104625,104604,103997,103018,102439,106289,103646,105615,106593,102769
3963,3984,3994,3990,3994,3996,3991,3995,3989,3988,3989,3988,3990,3996,3991,3994,3988,3982,4032,4032,4025,4031,4034,4033,4031,4032,4030,4027,4023,4021,4032,4028,4031,4030
3955,3995,3991,3993,3993,3993,3988,3988,3991,3989,3987,3989,3990,3996,3996,3991,3993,3987,4026,4030,4028,4035,4030,4030,4028,4028,4030,4028,4032,4025,4021,4031,4026,4032
3962,3995,3990,3996,3995,3996,3994,3991,3993,3984,3994,3997,3993,3982,3989,3993,3986,3983,4030,4032,4034,4031,4034,4033,4029,4033,4027,4029,4031,4025,4030,4030,4033,4030
3961,3994,3991,3991,3994,3995,3992,3994,3997,3994,3995,3989,3994,3996,3997,3995,3985,3984,4031,4020,4029,4031,4031,4021,4026,4031,4019,4031,4033,4018,4033,4026,4032,4033
3954,3995,3987,3992,3992,3994,3994,3996,3994,3993,3989,3989,3982,3996,3987,3995,3996,3984,4031,4032,4026,4032,4031,4031,4026,4033,4024,4031,4031,4026,4034,4033,4025,4028
7956,18171.8,48966.2,65714.4,73901,81103.2,36003,35602,39764,54233.2,56041,57361,62635,64869,65143.6,67014.8,,,,,,,,,,,,,,,,,,
