255941 Op,269245 Op,279861 Op,288640 Op,296091 Op,302541 Op,308213 Op,313263 Op,317806 Op,321929 Op,325698 Op,329166 Op
1745,2012,1892,2173,1825,2323,2175,2420,2434,2439,2173,2475
1640,1717,2041,2208,2189,2329,2049,2397,2065,2416,2046,2609
1987,1693,2040,2186,2166,2290,1960,2382,2136,2373,2435,2476
1591,2172,1761,2201,2244,1950,2005,2473,2542,2227,2059,2637
1895,1625,1753,1855,2225,2299,2038,2369,2489,2071,2431,2676
1721,1864,1777,2074,2164,2302,2341,2419,2071,2445,2089,2728
1787,1830,2156,1765,2184,1966,1974,2056,2364,2434,2541,2688
1873,1736,1806,2143,2251,2353,1962,2367,2542,2220,2060,2639
2015,1936,1976,2221,2195,2054,2126,2397,2365,2424,2454,2463
1939,1902,2154,1800,2223,2269,1924,2076,2343,2447,2491,2455
1781,2212,2172,2197,2203,2253,2437,2003,2048,2384,2088,2186
2110,2216,2240,2209,2168,1954,2019,2404,2360,2456,2506,2103
1533,2246,2151,1791,2168,2291,2360,2403,2424,2542,2474,2470
1502,1650,2074,2099,2006,2232,2354,2071,2050,2415,2455,2176
1623,1744,2025,2269,1940,2206,1996,2395,2359,2146,2418,2508
2006,1966,2078,2096,2049,2098,2020,2048,2030,2065,2336,2456
1503,1815,1763,1804,2188,2292,2261,2422,2419,2406,2466,2142
1825,1902,1846,1964,1943,2003,2401,2011,2412,2428,2157,2487
1906,1983,2030,1788,2223,1992,2342,2377,2065,2425,2489,2524
1715,1880,2199,2084,2265,2294,1977,2021,2391,2138,2484,2493
1712,1801,2332,2204,1745,1991,2364,2051,2419,2083,2411,2513
1507,1882,2136,2214,2203,1976,2011,2385,2403,2411,2099,2544
1883,1882,2183,2085,1861,1893,2432,2389,2458,2420,2564,2473
1773,1593,2011,2193,2125,2289,2318,2377,2467,2062,2542,2568
1553,1912,2034,2100,2223,2192,2364,2050,2435,2393,2422,2416
1742,1846,2107,2033,2285,1973,1988,2445,2060,2086,2457,2429
1995,1880,2118,2075,2159,2299,2358,2050,2055,2090,2121,2492
1489,1971,2041,1874,1807,2017,2295,2501,2318,2095,2447,2170
1618,1753,2027,2447,2055,1980,2348,2376,2423,2618,2579,2495
1525,1949,2010,2098,2155,2017,2341,2438,2127,2454,2476,2516
1571,1906,1901,2087,2241,1981,2202,2302,2612,2114,2522,2157
1780,1887,1775,2159,2214,2447,2336,2411,2046,2427,2202,2528
71664,71664,9821,16168,18235,27371,4873,33213,26369,29016,33416,37630
67203,3558,13594,15260,26486,23706,30762,25006,34635,36260,38772,40755
3542,4969,10064,15920,20883,22819,22481,25244,15731,34475,30028,31186
68309,3606,10663,18571,26801,7463,26230,21939,36584,17168,37192,35256
62742,65713,12404,16385,17855,28472,14122,30371,32476,39060,16147,28537
52886,13345,9492,20518,19843,28473,23221,26542,30963,29586,39638,39271
64410,6189,17428,18645,15811,16917,24715,27617,28720,31950,36192,34720
69340,66707,13026,18612,22396,21404,29962,32965,27897,29176,30922,32903
66923,68209,3558,23036,10523,21934,7459,26426,30216,30216,33173,36821
68631,4897,11715,24304,19613,22277,28974,26524,23992,38562,29738,39434
68386,68120,15171,20246,19565,20227,19702,25666,34669,23480,36325,26358
64400,71461,15811,21541,27410,25181,26500,26240,30125,30572,29968,6204
65713,4910,16193,17765,23511,28206,25168,27574,29154,33234,40880,35336
65442,3478,16684,15619,19243,27710,26817,28498,30635,32611,37375,38564
60602,7143,11095,15060,19755,21451,30185,29279,29309,32719,23650,33732
68497,3542,7473,17447,26834,22040,23354,26749,28958,27143,32568,33401
3510,71680,13519,20407,18996,22564,4857,20780,24011,30756,33640,35990
63206,3542,14777,13995,19880,21813,23800,31129,14126,24189,40887,32180
67460,4878,71664,22228,27233,21699,26839,27871,30608,39797,33649,36213
4858,14870,13484,19138,18841,25822,25840,27674,30516,31866,32859,32964
69135,14112,8380,17245,22376,21531,30139,34452,36112,30594,38363,42812
71223,71664,11261,14153,70858,22241,29602,25761,31008,35255,35305,37907
69001,4985,71664,21960,23861,18035,23307,30729,19854,33353,38124,42486
67882,4841,6285,16327,70385,3558,24672,29155,27491,31031,16727,33641
3590,62040,14126,16185,18415,30111,9695,26884,35371,37773,33951,28423
2243,4878,16210,70111,22421,26526,21175,30809,27933,31062,31080,32289
69188,15332,13928,15583,20941,27163,26396,29347,32920,25163,39444,40051
65291,3574,9052,14586,24054,21883,25490,25783,27290,34559,30385,33569
68233,2195,14403,23018,6188,23258,30311,30630,34960,29110,40858,34058
71664,2227,18428,22961,26943,22765,28399,27286,26716,28104,34865,42166
68717,3601,12488,6760,17476,17509,23253,34805,36072,31919,38155,33672
67600,3558,12636,21662,15934,21914,32634,31405,34979,34703,38558,40729
71444,4878,6787,16204,19374,20764,29108,30425,23871,33957,33342,16731
59611,4873,13417,6582,20513,22397,22004,28408,25640,31527,37503,20064
65867,3494,19133,16323,19660,26295,32011,31372,32297,33631,30676,31753
63047,16064,13513,20811,17539,18864,19404,29452,28833,34551,26329,35027
71680,6189,11063,24711,70302,18962,25757,26945,34850,32074,31161,32898
