"50 Op","22663 Op","56572 Op","73403 Op","84193 Op","91978 Op","97991 Op","102850 Op","106903 Op","110363 Op","113372 Op","116026 Op","118396 Op","120532 Op","122473 Op","124251 Op","125887 Op","127403 Op","128812 Op","130129 Op","131363 Op","132524 Op","133620 Op","134656 Op"
"54.0","88.0","124.0","272.0","207.0","281.0","343.0","222.0","223.0","208.0","219.0","183.0","232.0","217.0","198.0","179.0","316.0","262.0","365.0","381.0","484.0","383.0","515.0","576.0"
"54.0","86.0","126.0","264.0","227.0","356.0","350.0","256.0","204.0","187.0","219.0","188.0","192.0","211.0","195.0","203.0","222.0","250.0","283.0","256.0","381.0","524.0","425.0","611.0"
"54.0","86.0","124.0","266.0","242.0","343.0","295.0","280.0","201.0","190.0","222.0","222.0","225.0","194.0","248.0","247.0","155.0","247.0","352.0","322.0","354.0","340.0","518.0","495.0"
"54.0","86.0","112.0","275.0","272.0","278.0","331.0","241.0","299.0","233.0","240.0","217.0","210.0","210.0","230.0","212.0","177.0","342.0","250.0","376.0","309.0","435.0","511.0","546.0"
"55.0","87.0","132.0","197.0","201.0","339.0","327.0","340.0","273.0","238.0","208.0","250.0","240.0","239.0","204.0","158.0","244.0","190.0","384.0","460.0","288.0","492.0","367.0","439.0"
"57.0","87.0","126.0","207.0","386.0","327.0","240.0","266.0","258.0","245.0","193.0","223.0","181.0","222.0","203.0","205.0","208.0","268.0","250.0","427.0","500.0","307.0","354.0","351.0"
"81.0","90.0","133.0","254.0","352.0","353.0","255.0","265.0","251.0","217.0","212.0","209.0","190.0","229.0","158.0","208.0","333.0","365.0","193.0","532.0","303.0","445.0","353.0","438.0"
"58.0","86.0","125.0","255.0","216.0","290.0","233.0","274.0","278.0","210.0","211.0","232.0","182.0","198.0","183.0","259.0","276.0","275.0","409.0","421.0","354.0","404.0","419.0","439.0"
"53.0","85.0","136.0","243.0","277.0","293.0","368.0","281.0","209.0","261.0","237.0","170.0","228.0","179.0","180.0","209.0","338.0","345.0","172.0","354.0","431.0","514.0","542.0","435.0"
"57.0","89.0","112.0","259.0","253.0","311.0","397.0","243.0","238.0","208.0","219.0","174.0","204.0","183.0","232.0","204.0","193.0","223.0","272.0","294.0","421.0","545.0","400.0","304.0"
"55.0","90.0","117.0","258.0","256.0","320.0","299.0","287.0","284.0","225.0","228.0","208.0","198.0","194.0","162.0","224.0","279.0","262.0","311.0","273.0","437.0","445.0","499.0","513.0"
"54.0","89.0","135.0","192.0","262.0","300.0","293.0","271.0","268.0","235.0","187.0","225.0","231.0","247.0","162.0","205.0","223.0","255.0","252.0","413.0","367.0","457.0","510.0","579.0"
"53.0","87.0","117.0","255.0","259.0","276.0","334.0","280.0","234.0","208.0","197.0","207.0","164.0","261.0","164.0","193.0","232.0","262.0","278.0","270.0","427.0","433.0","425.0","435.0"
"52.0","87.0","116.0","286.0","186.0","292.0","264.0","261.0","258.0","245.0","266.0","196.0","191.0","197.0","194.0","313.0","333.0","326.0","380.0","267.0","397.0","341.0","431.0","519.0"
"53.0","87.0","131.0","276.0","253.0","328.0","261.0","291.0","218.0","221.0","207.0","212.0","191.0","199.0","193.0","219.0","240.0","280.0","257.0","332.0","201.0","530.0","500.0","497.0"
"54.0","86.0","117.0","268.0","230.0","358.0","289.0","233.0","204.0","201.0","219.0","229.0","166.0","265.0","193.0","247.0","216.0","188.0","262.0","389.0","454.0","690.0","500.0","434.0"
"60.0","90.0","134.0","263.0","254.0","269.0","300.0","299.0","303.0","187.0","208.0","174.0","205.0","194.0","185.0","238.0","232.0","395.0","276.0","321.0","341.0","397.0","380.0","565.0"
"54.0","85.0","126.0","286.0","266.0","287.0","309.0","221.0","264.0","257.0","202.0","217.0","193.0","191.0","195.0","277.0","186.0","236.0","227.0","237.0","291.0","461.0","338.0","560.0"
"53.0","91.0","132.0","259.0","241.0","284.0","316.0","265.0","275.0","223.0","244.0","220.0","211.0","174.0","198.0","289.0","285.0","265.0","276.0","432.0","458.0","510.0","568.0","465.0"
