Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"TI Pairs/Pair 2",4.453283145577409e-4,4.3937414144380515e-4,4.5520694854823e-4,2.5233557063113178e-5,1.5984484706250534e-5,4.4978179622014374e-5
"TI Pairs/Pair 3",1.655481650319805e-3,1.6289060154798885e-3,1.6865672212558636e-3,1.020016160317727e-4,8.376256129336726e-5,1.243440408234396e-4
"TI Pairs/Pair 4",2.3637011997098504e-2,2.3224241458736916e-2,2.4276271922593108e-2,1.126960708059057e-3,7.031220111962187e-4,1.5690777516004272e-3
"TI Pairs/Pair 5",7.235520991545592,7.171308779684604,7.289469230176993,8.594250963508433e-2,0.0,9.344109028843656e-2
