50 Op,3065 Op,13327 Op,19283 Op,23361 Op,26409 Op,28816 Op,30791 Op,32455 Op,33887 Op,35140 Op,36250 Op,37245 Op,38145 Op,38965 Op,39716 Op,40410 Op,41053 Op,41652 Op,42212 Op,42738 Op,43233 Op,43700 Op,44142 Op,44562 Op,44961 Op,45341 Op,45704 Op,46051 Op,46384 Op,46703 Op,47009 Op,47304 Op,47588 Op,47862 Op,48126 Op,48382 Op,48629 Op,48868 Op,49100 Op,50 NoOp,3065 NoOp,13327 NoOp,19283 NoOp,23361 NoOp,26409 NoOp,28816 NoOp,30791 NoOp,32455 NoOp,33887 NoOp,35140 NoOp,36250 NoOp,37245 NoOp,38145 NoOp,38965 NoOp,39716 NoOp,40410 NoOp,41053 NoOp,41652 NoOp,42212 NoOp,42738 NoOp,43233 NoOp,43700 NoOp,44142 NoOp,44562 NoOp,44961 NoOp,45341 NoOp,45704 NoOp,46051 NoOp,46384 NoOp,46703 NoOp,47009 NoOp,47304 NoOp,47588 NoOp,47862 NoOp,48126 NoOp,48382 NoOp,48629 NoOp,48868 NoOp,49100 NoOp
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.41E-02,7.88E-02,7.86E-02,7.89E-02,9.11E-02,8.24E-02,8.89E-02,8.29E-02,9.13E-02,8.14E-02,8.06E-02,7.70E-02,7.75E-02,7.75E-02,8.19E-02,7.87E-02,7.77E-02,7.81E-02,7.86E-02,7.85E-02,7.65E-02,8.02E-02,7.96E-02,8.57E-02,8.50E-02,7.94E-02,8.22E-02,7.89E-02,8.37E-02,7.82E-02,7.86E-02,7.81E-02,7.92E-02,8.63E-02
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0841205,0.0788497,0.0786072,0.0789381,0.0910751,0.08241,0.0889376,0.082947,0.0912677,0.0814295,0.0805925,0.0769758,0.0774795,0.0775197,0.0818614,0.0787295,0.0776856,0.0781061,0.0785938,0.0784725,0.0765017,0.080177,0.0795632,0.0857214,0.0850295,0.0794101,0.0821763,0.0789106,0.0836718,0.0781857,0.0785902,0.0780502,0.0792259,0.0862646
